"TAGGS Recipient Search Export
Data Fiscal Year = 2020; Recipient Classes = Federal Government, State Government, County Government, City Government; Recipient Types = Health Department, Hospital, Other Health Organization",,,,,,,,,
Recipient Name,DUNS,City,State,ZIP Code,County,Country,Type,Class,Sum of Awards
PR DEPARTMENT OF HEALTH,105817142,SAN JUAN,PR,936,SAN  JUAN,USA Related Territories,Health Department,State Government,"($294,857)"
VI DEPARTMENT OF HEALTH,43577068,SAINT CROIX,VI,802,ST. CROIX,USA Related Territories,Health Department,State Government,$0 
VI DEPARTMENT OF HEALTH,167269765,SAINT CROIX,VI,802,ST. CROIX,USA Related Territories,Health Department,State Government,"$1,578,475 "
YORK HOSPITAL,77461549,YORK,ME,3909,YORK,United States of America,Hospital,City Government,"$87,897 "
"Maine Hospital Association, Inc.",71745087,AUGUSTA,ME,43304910,KENNEBEC,United States of America,Other Health Organization,State Government,"$1,635,935 "
IL  ST  DEPT OF PUBLIC HEALTH,806660296,SPRINGFIELD,IL,62761,SANGAMON,United States of America,Health Department,State Government,"$445,008,527 "
ME DEPT OF BEHAVIORAL & DEVELOPMENTAL SERVICES,809045594,AUGUSTA,ME,4333,KENNEBEC,United States of America,Health Department,State Government,"$2,880,575 "
"Me State Attorney General, Medical Examiner`s Office",809175169,AUGUSTA,ME,4333,KENNEBEC,United States of America,Other Health Organization,State Government,"$187,056 "
City of Portland Maine,71747802,PORTLAND,ME,4101,CUMBERLAND,United States of America,Health Department,City Government,"$149,088 "
"ISLANDS COMMUNITY MEDICAL SERVICE, INC",37717881,VINALHAVEN,ME,48630812,KNOX,United States of America,Other Health Organization,City Government,"$1,547,800 "
"City of Franklin, New Hampshire",5598313,FRANKLIN,NH,3235,MERRIMACK,United States of America,Other Health Organization,City Government,"$300,000 "
NH ST DIV OF MENTAL HEALTH/DEV SVCS,11040545,CONCORD,NH,3301,MERRIMACK,United States of America,Health Department,State Government,$0 
"NH ST DEPT OF HEALTH & WELFARE, DIV OF PUBLIC HEALTH",11040545,CONCORD,NH,3301,MERRIMACK,United States of America,Health Department,State Government,"$9,525,442 "
"NH ST DEPT OF HEALTH & WELFARE, DIV OF P/H, BUR OF HLTH",11040545,CONCORD,NH,3301,MERRIMACK,United States of America,Health Department,State Government,"$1,987,122 "
NH Dept of Environmental Services,42828025,CONCORD,NH,33016503,MERRIMACK,United States of America,Health Department,State Government,"$428,923 "
"NORTHEAST WASHINGTON COUNTY COMMUNITY HEALTH, INC",92061704,PLAINFIELD,VT,5667,WASHINGTON,United States of America,Other Health Organization,County Government,"$2,695,716 "
VT ST COMPREHENSIVE HEALTH PLANNING,137133737,MONTPELIER,VT,5602,WASHINGTON,United States of America,Other Health Organization,State Government,"$65,785 "
VT ST COMPREHENSIVE HEALTH PLANNING,809376155,MONTPELIER,VT,5602,WASHINGTON,United States of America,Other Health Organization,State Government,"$952,034 "
"VT ST DEPARTMENT OF HEALTH, DIV OF MEDICAL CARE REG",809376155,BURLINGTON,VT,5402,CHITTENDEN,United States of America,Health Department,State Government,"$325,000 "
"Human Services, Vermont Agency Of",809376155,WATERBURY,VT,56711000,CHITTENDEN,United States of America,Other Health Organization,State Government,"$543,601 "
VT ST DEPARTMENT OF HEALTH,809376155,BURLINGTON,VT,5401,CHITTENDEN,United States of America,Health Department,State Government,"$4,998,461 "
Vermont Department of Mental Health,809376155,BURLINGTON,VT,5402,CHITTENDEN,United States of America,Health Department,State Government,"$200,000 "
FRANKLIN MEDICAL CENTER,66977570,GREENFIELD,MA,1301,FRANKLIN,United States of America,Hospital,County Government,"$850,000 "
Town of Needham Health Department,76618867,NEEDHAM,MA,2492,NORFOLK,United States of America,Health Department,City Government,"($23,985)"
Town of Scituate,957344146,SCITUATE,MA,2066,PLYMOUTH,United States of America,Health Department,City Government,"$32,925 "
"NEW BEDFORD, CITY OF (INC)",75719187,NEW BEDFORD,MA,27406132,BRISTOL,United States of America,Other Health Organization,City Government,"$456,452 "
"SPRINGFIELD, MA, HLTH & HUMAN SRVS DEPT",198910523,SPRINGFIELD,MA,1103,HAMPDEN,United States of America,Health Department,City Government,"$3,217,466 "
City of Worcester,65782575,WORCESTER,MA,1608,WORCESTER,United States of America,Other Health Organization,City Government,"$975,795 "
MA ST DEPARTMENT OF MENTAL HEALTH,73130932,BOSTON,MA,2114,SUFFOLK,United States of America,Other Health Organization,State Government,"$14,164,150 "
MA ST DEPARTMENT OF MENTAL HEALTH,878369362,BOSTON,MA,2114,SUFFOLK,United States of America,Other Health Organization,State Government,"$9,551,592 "
MA ST DEPARTMENT OF PUBLIC HEALTH,4726456,BOSTON,MA,21084619,SUFFOLK,United States of America,Health Department,State Government,"$2,254,598 "
MA ST DEPARTMENT OF PUBLIC HEALTH,73130932,BOSTON,MA,21084619,SUFFOLK,United States of America,Health Department,State Government,"$40,243,602 "
MA ST DEPARTMENT OF PUBLIC HEALTH,878298900,BOSTON,MA,21084619,SUFFOLK,United States of America,Health Department,State Government,"$607,220,660 "
"PLYMOUTH, COUNTY OF, INC.",790427798,BROCKTON,MA,23031665,PLYMOUTH,United States of America,Other Health Organization,State Government,"($3,641)"
"Newport County Community Mental Health Center, Inc.",99421919,MIDDLETOWN,RI,28425674,NEWPORT,United States of America,Hospital,County Government,"$4,800,000 "
"Rhode Island Public Health Foundation, The",946825767,PROVIDENCE,RI,2904,PROVIDENCE,United States of America,Health Department,State Government,"$149,999 "
"Fund for Public Health in New York, Inc.",167227789,NEW YORK,NY,100071855,NEW YORK,United States of America,Health Department,City Government,"$3,903,256 "
"Fund For Public Health In New York, Inc.",167227789,NEW YORK,NY,100073107,NEW YORK,United States of America,Other Health Organization,State Government,"$3,814,358 "
Town of Middletown,34316760,MIDDLETOWN,RI,2842,NEWPORT,United States of America,Other Health Organization,City Government,"($24,825)"
RI ST DEPARTMENT OF HEALTH,111414582,PROVIDENCE,RI,2908,PROVIDENCE,United States of America,Health Department,State Government,"$230,000 "
RI ST DEPARTMENT OF HEALTH,145310553,PROVIDENCE,RI,2908,PROVIDENCE,United States of America,Health Department,State Government,"$4,724,254 "
RI ST DEPARTMENT OF HEALTH,929922664,PROVIDENCE,RI,2908,PROVIDENCE,United States of America,Health Department,State Government,"$148,127,067 "
"RI ST DEPARTMENT OF MENTAL HEALTH, RETARDATION & HOSP",111415381,CRANSTON,RI,29203080,PROVIDENCE,United States of America,Health Department,State Government,"$14,177,052 "
RI ST DEPT OF BEHAV HEALTHCARE DEV DISAB,111415381,CRANSTON,RI,29203080,PROVIDENCE,United States of America,Other Health Organization,State Government,$0 
RI ST DEPT OF BEHAV HEALTHCARE DEVELOPMENTAL DISAB,111415381,CRANSTON,RI,29203080,PROVIDENCE,United States of America,Other Health Organization,State Government,"$4,473,979 "
DANBURY HOSPITAL,75394080,DANBURY,CT,6810,FAIRFIELD,United States of America,Hospital,City Government,"$1,815,819 "
YALE NEW HAVEN HOSPITAL,75406561,NEW HAVEN,CT,65048900,NEW HAVEN,United States of America,Hospital,City Government,"$675,636 "
HARTFORD HOSPITAL,65533796,HARTFORD,CT,6115,HARTFORD,United States of America,Hospital,City Government,"$2,694,329 "
CORNELL SCOTT HILL HEALTH CORPORATION,10156370,NEW HAVEN,CT,65191233,NEW HAVEN,United States of America,Other Health Organization,City Government,"$10,087,682 "
