"TAGGS Recipient Search Export
Data Fiscal Year = 2019; Recipient Classes = Federal Government, State Government, County Government, City Government; Recipient Types = Health Department, Hospital, Other Health Organization",,,,,,,,,
Recipient Name,DUNS,City,State,ZIP Code,County,Country,Type,Class,Sum of Awards
PR DEPARTMENT OF HEALTH,105817142,SAN JUAN,PR,936,SAN  JUAN,USA Related Territories,Health Department,State Government,$0 
VI DEPARTMENT OF HEALTH,43577068,SAINT CROIX,VI,802,ST. CROIX,USA Related Territories,Health Department,State Government,"$711,594 "
VI DEPARTMENT OF HEALTH,167269765,SAINT CROIX,VI,802,ST. CROIX,USA Related Territories,Health Department,State Government,"$411,320 "
PR DEPARTMENT OF PUBLIC HEALTH,105817142,SAN JUAN,PR,936,SAN  JUAN,USA Related Territories,Health Department,State Government,"$45,614 "
YORK HOSPITAL,77461549,YORK,ME,3909,YORK,United States of America,Hospital,City Government,"$174,659 "
IL  ST  DEPT OF PUBLIC HEALTH,806660296,SPRINGFIELD,IL,62761,SANGAMON,United States of America,Health Department,State Government,"$89,226,002 "
ME DEPT OF BEHAVIORAL & DEVELOPMENTAL SERVICES,809045594,AUGUSTA,ME,4333,KENNEBEC,United States of America,Health Department,State Government,"$3,153,688 "
"Me State Attorney General, Medical Examiner`s Office",809175169,AUGUSTA,ME,4333,KENNEBEC,United States of America,Other Health Organization,State Government,"$187,056 "
City of Portland Maine,71747802,PORTLAND,ME,4101,CUMBERLAND,United States of America,Health Department,City Government,"$146,048 "
"ISLANDS COMMUNITY MEDICAL SERVICE, INC",37717881,VINALHAVEN,ME,48630812,KNOX,United States of America,Other Health Organization,City Government,"$1,062,168 "
"City of Franklin, New Hampshire",5598313,FRANKLIN,NH,3235,MERRIMACK,United States of America,Other Health Organization,City Government,"$125,000 "
NH ST DIV OF MENTAL HEALTH/DEV SVCS,11040545,CONCORD,NH,3301,MERRIMACK,United States of America,Health Department,State Government,"$300,000 "
"NH ST DEPT OF HEALTH & WELFARE, DIV OF PUBLIC HEALTH",11040545,CONCORD,NH,3301,MERRIMACK,United States of America,Health Department,State Government,"$5,872,677 "
"NH ST DEPT OF HEALTH & WELFARE, DIV OF P/H, BUR OF HLTH",11040545,CONCORD,NH,3301,MERRIMACK,United States of America,Health Department,State Government,"$3,041,722 "
