Recipient Name,DUNS,City,State,ZIP Code,County,Country,Type,Class,Sum of Awards,Year
PR DEPARTMENT OF HEALTH,105817142,SAN JUAN,PR,936,SAN  JUAN,USA Related Territories,Health Department,State Government,"$7,429,032 ",2017
VI DEPARTMENT OF HEALTH,43577068,SAINT CROIX,VI,802,ST. CROIX,USA Related Territories,Health Department,State Government,"$656,290 ",2017
VI DEPARTMENT OF HEALTH,167269765,SAINT CROIX,VI,802,ST. CROIX,USA Related Territories,Health Department,State Government,"$198,568 ",2017
PR DEPARTMENT OF PUBLIC HEALTH,105817142,SAN JUAN,PR,936,SAN  JUAN,USA Related Territories,Health Department,State Government,"$2,909,448 ",2017
YORK HOSPITAL,77461549,YORK,ME,3909,YORK,United States of America,Hospital,City Government,"$125,000 ",2017
IL  ST  DEPT OF PUBLIC HEALTH,65232498,SPRINGFIELD,IL,62761,SANGAMON,United States of America,Health Department,State Government,"($1,785,803)",2017
IL  ST  DEPT OF PUBLIC HEALTH,806660296,SPRINGFIELD,IL,62761,SANGAMON,United States of America,Health Department,State Government,"$86,790,654 ",2017
ME DEPT OF BEHAVIORAL & DEVELOPMENTAL SERVICES,809045594,AUGUSTA,ME,4333,KENNEBEC,United States of America,Health Department,State Government,"$2,442,401 ",2017
MAINE HEALTH DATA ORGANIZATION,143316516,AUGUSTA,ME,43330102,KENNEBEC,United States of America,Other Health Organization,State Government,"($1,802)",2017
"Me State Attorney General, Medical Examiner`s Office",809175169,AUGUSTA,ME,4333,KENNEBEC,United States of America,Other Health Organization,State Government,"$206,007 ",2017
"ISLANDS COMMUNITY MEDICAL SERVICE, INC",37717881,VINALHAVEN,ME,48630812,KNOX,United States of America,Other Health Organization,City Government,"$887,656 ",2017
NH ST HEALTH PLAN,780146275,CONCORD,NH,3301,MERRIMACK,United States of America,Other Health Organization,State Government,"($38,993)",2017
"City of Franklin, New Hampshire",5598313,FRANKLIN,NH,3235,MERRIMACK,United States of America,Other Health Organization,City Government,"$125,000 ",2017
NH ST DIV OF MENTAL HEALTH/DEV SVCS,11040545,CONCORD,NH,3301,MERRIMACK,United States of America,Health Department,State Government,"($1,727,211)",2017
"NH ST DEPT OF HEALTH & WELFARE, DIV OF PUBLIC HEALTH",11040545,CONCORD,NH,3301,MERRIMACK,United States of America,Health Department,State Government,"$8,442,765 ",2017
"NH ST DEPT OF HEALTH & WELFARE, DIV OF P/H, BUR OF HLTH",11040545,CONCORD,NH,3301,MERRIMACK,United States of America,Health Department,State Government,"$1,068,144 ",2017
NH ST DEPARTMENT OF HEALTH & HUMAN SERVICES,11040545,CONCORD,NH,3301,MERRIMACK,United States of America,Health Department,State Government,"$209,051 ",2017
NH Dept of Environmental Services,42828025,CONCORD,NH,33016503,MERRIMACK,United States of America,Health Department,State Government,"($3,441)",2017
"NORTHEAST WASHINGTON COUNTY COMMUNITY HEALTH, INC",92061704,PLAINFIELD,VT,5667,WASHINGTON,United States of America,Other Health Organization,County Government,"$1,585,782 ",2017
VT ST COMPREHENSIVE HEALTH PLANNING,809376155,MONTPELIER,VT,5602,WASHINGTON,United States of America,Other Health Organization,State Government,"$2,525,830 ",2017
"VT ST DEPARTMENT OF HEALTH, DIV OF MEDICAL CARE REG",809376155,BURLINGTON,VT,5402,CHITTENDEN,United States of America,Health Department,State Government,"$150,000 ",2017
"Human Services, Vermont Agency Of",809376155,WATERBURY,VT,56711000,CHITTENDEN,United States of America,Other Health Organization,State Government,"$2,492,587 ",2017
VT ST DEPARTMENT OF HEALTH,809376155,BURLINGTON,VT,5401,CHITTENDEN,United States of America,Health Department,State Government,"$5,569,983 ",2017
Vermont Department of Mental Health,809376155,BURLINGTON,VT,5402,CHITTENDEN,United States of America,Health Department,State Government,"$75,000 ",2017
"HEALTH IMPERATIVES, INC",38338109,BROCKTON,MA,2301,PLYMOUTH,United States of America,Other Health Organization,State Government,"$1,441,000 ",2017
Town of Needham Health Department,948823513,NEEDHAM,MA,2492,NORFOLK,United States of America,Health Department,City Government,"$125,000 ",2017
Town of Scituate,957344146,SCITUATE,MA,2066,PLYMOUTH,United States of America,Health Department,City Government,"$125,000 ",2017
CIty of Newton Health and Human Services,76576826,NEWTON,MA,2459,MIDDLESEX,United States of America,Health Department,City Government,$0 ,2017
"SPRINGFIELD, MA, HLTH & HUMAN SRVS DEPT",198910523,SPRINGFIELD,MA,1103,HAMPDEN,United States of America,Health Department,City Government,"$2,215,429 ",2017
MA ST DEPARTMENT OF MENTAL HEALTH,73130932,BOSTON,MA,2114,SUFFOLK,United States of America,Other Health Organization,State Government,"$10,637,515 ",2017
MA ST DEPARTMENT OF MENTAL HEALTH,878369362,BOSTON,MA,2114,SUFFOLK,United States of America,Other Health Organization,State Government,"$4,401,224 ",2017
MA ST DEPARTMENT OF PUBLIC HEALTH,4726456,BOSTON,MA,21084619,SUFFOLK,United States of America,Health Department,State Government,"$2,066,545 ",2017
MA ST DEPARTMENT OF PUBLIC HEALTH,73130932,BOSTON,MA,21084619,SUFFOLK,United States of America,Health Department,State Government,"$39,845,551 ",2017
MA ST DEPARTMENT OF PUBLIC HEALTH,878298900,BOSTON,MA,21084619,SUFFOLK,United States of America,Health Department,State Government,"$134,497,386 ",2017
"MA ST DEPT OF PUBLIC HEALTH, LEMUEL SHATTUCK HOSPITAL",878298900,JAMAICA PLAIN,MA,2130,SUFFOLK,United States of America,Hospital,State Government,$0 ,2017
"PLYMOUTH, COUNTY OF, INC.",790427798,BROCKTON,MA,23031665,PLYMOUTH,United States of America,Other Health Organization,State Government,"$125,000 ",2017
"Fund for Public Health in New York, Inc.",167227789,NEW YORK,NY,100071855,NEW YORK,United States of America,Health Department,City Government,"$7,744,012 ",2017
Town of Middletown,34316760,MIDDLETOWN,RI,2842,NEWPORT,United States of America,Other Health Organization,City Government,"$125,000 ",2017
RI ST DEPARTMENT OF HEALTH,111414582,PROVIDENCE,RI,2908,PROVIDENCE,United States of America,Health Department,State Government,"$3,512,096 ",2017
RI ST DEPARTMENT OF HEALTH,145310553,PROVIDENCE,RI,2908,PROVIDENCE,United States of America,Health Department,State Government,"$7,013,694 ",2017
RI ST DEPARTMENT OF HEALTH,929922664,PROVIDENCE,RI,2908,PROVIDENCE,United States of America,Health Department,State Government,"$36,923,519 ",2017
"RI ST DEPARTMENT OF MENTAL HEALTH, RETARDATION & HOSP",111415381,CRANSTON,RI,29203080,PROVIDENCE,United States of America,Health Department,State Government,"$8,418,354 ",2017
RI ST DEPT OF BEHAV HEALTHCARE DEV DISAB,111415381,CRANSTON,RI,29203080,PROVIDENCE,United States of America,Other Health Organization,State Government,"$2,167,007 ",2017
RI ST DEPT OF BEHAV HEALTHCARE DEVELOPMENTAL DISAB,111415381,CRANSTON,RI,29203080,PROVIDENCE,United States of America,Other Health Organization,State Government,"$800,000 ",2017
"PLANNED PARENTHOOD OF SOUTHERN NEW ENGLAND, INC",72132368,NEW HAVEN,CT,65112348,NEW HAVEN,United States of America,Other Health Organization,State Government,"$2,479,000 ",2017
DANBURY HOSPITAL,75394080,DANBURY,CT,6810,FAIRFIELD,United States of America,Hospital,City Government,"$1,504,018 ",2017
YALE NEW HAVEN HOSPITAL,75406561,NEW HAVEN,CT,65048900,NEW HAVEN,United States of America,Hospital,City Government,"$598,380 ",2017
HARTFORD HOSPITAL,65533796,HARTFORD,CT,6115,HARTFORD,United States of America,Hospital,City Government,"$1,690,641 ",2017
WATERBURY HOSPITAL,10142065,WATERBURY,CT,6720,NEW HAVEN,United States of America,Hospital,City Government,"($231,029)",2017
CORNELL SCOTT HILL HEALTH CORPORATION,10156370,NEW HAVEN,CT,65191233,NEW HAVEN,United States of America,Other Health Organization,City Government,"$6,581,415 ",2017
LEDGE LIGHT HEALTH DISTRICT,829794598,NEW LONDON,CT,63205335,NEW LONDON,United States of America,Health Department,County Government,"$195,000 ",2017
Marin City Health and Wellness Center,830668880,SAUSALITO,CA,949651107,MARIN,United States of America,Hospital,City Government,"$2,037,246 ",2017
CT ST DEPT OF PUBLIC HEALTH,807853791,HARTFORD,CT,6134,HARTFORD,United States of America,Health Department,State Government,"$42,512,212 ",2017
CT ST DEPARTMENT OF MENTAL HEALTH & ADDICTION SVCS,103626086,HARTFORD,CT,6134,HARTFORD,United States of America,Health Department,State Government,"$19,479,893 ",2017
CT ST DEPARTMENT OF MENTAL HEALTH & ADDICTION SVCS,807853791,HARTFORD,CT,6134,HARTFORD,United States of America,Health Department,State Government,"$10,853,761 ",2017
CT ST DEPARTMENT OF MENTAL RETARDATION,807852694,HARTFORD,CT,61061308,HARTFORD,United States of America,Other Health Organization,State Government,"$705,696 ",2017
CT ST DEPT OF MENTAL HLTH & ADDICITION SERVICES,103626086,HARTFORD,CT,6134,HARTFORD,United States of America,Other Health Organization,State Government,"$18,212,438 ",2017
CT ST DEPARTMENT OF HEALTH,807853791,BRIDGEPORT,CT,6604,FAIRFIELD,United States of America,Health Department,State Government,"$3,464,577 ",2017
CITY OF DANBURY,72123250,DANBURY,CT,6810,FAIRFIELD,United States of America,Health Department,City Government,"($37,244)",2017
"HARTFORD CITY, DEPARTMENT OF HEALTH",198349602,HARTFORD,CT,6112,HARTFORD,United States of America,Health Department,City Government,"$4,807,661 ",2017
NEW HAVEN CITY DEPARTMENT OF PUBLIC HEALTH,75396754,NEW HAVEN,CT,6519,NEW HAVEN,United States of America,Health Department,City Government,"$5,570,441 ",2017
STRATFORD DEPARTMENT OF HEALTH,72134414,STRATFORD,CT,6497,FAIRFIELD,United States of America,Health Department,City Government,"$125,000 ",2017
NH DHHS Office of Minority Health,11040545,CONCORD,NH,33013857,MERRIMACK,United States of America,Other Health Organization,State Government,"($4,945,216)",2017
JUDICIARY COURTS OF THE STATE OF MICHIGAN,10397758,CLINTON TOWNSHIP,MI,480361197,MACOMB,United States of America,Other Health Organization,County Government,$0 ,2017
NASSAU COUNTY HEALTH DEPARTMENT,60656886,MINEOLA,NY,115014245,NASSAU,United States of America,Health Department,County Government,"$5,615,202 ",2017
SUFFOLK COUNTY DEPARTMENT OF HEALTH SERVICES,129090267,HAUPPAUGE,NY,11788,SUFFOLK,United States of America,Health Department,County Government,"$70,000 ",2017
"New York Blood Center, Inc.",73271827,NEW YORK,NY,10021,NEW YORK,United States of America,Other Health Organization,City Government,"$8,661,975 ",2017
ELMHURST HOSPITAL CENTER/NYC HEALTH & HOPITAL COPR.,86060423,ELMHURST,NY,11373,QUEENS,United States of America,Hospital,City Government,"$1,458,395 ",2017
"COUTY OF ROCKLAND, DEPARTMENT OF FINANCE",75437848,NEW CITY,NY,10956,ROCKLAND,United States of America,Other Health Organization,County Government,"$987,000 ",2017
WESTCHESTER COUNTY DEPARTMENT OF HEALTH,72705213,NEW ROCHELLE,NY,10801,WESTCHESTER,United States of America,Health Department,County Government,$0 ,2017
NEW YORK CITY DEPARTMENT OF HEALTH,83489737,CHURCH STREET,NY,100071307,NEW YORK,United States of America,Health Department,City Government,"$173,104,769 ",2017
NEW YORK CITY DEPARTMENT OF HEALTH,83489737,NEW YORK,NY,10013,NEW YORK,United States of America,Health Department,City Government,"$11,071,547 ",2017
"HEALTH RESEARCH, INC.",2436061,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$264,959,231 ",2017
"HEALTH RESEARCH, INC.",153695478,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$11,973,729 ",2017
"HEALTH RESEARCH, INC.",153695809,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$29,185,069 ",2017
"HEALTH RESEARCH, INC.",157119244,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$458,813 ",2017
"HEALTH RESEARCH, INC.",157119657,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$19,794,201 ",2017
"HEALTH RESEARCH, INC.",620832753,MENANDS,NY,122042719,RENSSELAER,United States of America,Health Department,State Government,"$7,615,602 ",2017
UNIVERSITY HOSPITAL OF DOWNSTATE MEDICAL CENTER,40796328,NEW YORK-KINGS,NY,11203,KINGS,United States of America,Hospital,State Government,"$23,551,456 ",2017
UNIVERSITY HOSPITAL OF UPSTATE MEDICAL CENTER,58889106,SYRACUSE,NY,132102342,ONONDAGA,United States of America,Hospital,State Government,"$15,777,962 ",2017
NY ST COMMISSION ON QUALITY OF CARE,138927319,SCHENECTADY,NY,123052397,SCHENECTADY,United States of America,Other Health Organization,State Government,"$704,725 ",2017
NYS Office of Mental Health,135407026,ALBANY,NY,12229,ALBANY,United States of America,Health Department,State Government,"$37,362,565 ",2017
NYS Office of Alcoholism and Substance Abuse Services,136153207,ALBANY,NY,122033526,ALBANY,United States of America,Health Department,State Government,"$111,831,371 ",2017
DC DEPARTMENT OF MENTAL HEALTH,14384031,WASHINGTON,DC,200023329,DISTRICT OF COLUMBIA,United States of America,Other Health Organization,State Government,"$1,523,382 ",2017
Department of Behavioral Health & Developmental Service,627383102,RICHMOND,VA,23218,**RICHMOND,United States of America,Health Department,State Government,"($2,045,763)",2017
CAYUGA COUNTY MENTAL HEALTH CENTER,809609410,AUBURN,NY,13021,CAYUGA,United States of America,Hospital,County Government,"$1,000,000 ",2017
Madison County,75824151,WAMPSVILLE,NY,13163,MADISON,United States of America,Health Department,County Government,"$114,525 ",2017
ONONDAGA COUNTY DEPARTMENT OF HEALTH,25345039,SYRACUSE,NY,13202,ONONDAGA,United States of America,Health Department,County Government,"$1,088,399 ",2017
ONONDAGA COUNTY DEPARTMENT OF HEALTH,31304194,SYRACUSE,NY,13202,ONONDAGA,United States of America,Health Department,County Government,"$1,000,000 ",2017
County of Schuyler,39551270,WATKINS GLEN,NY,14891,SCHUYLER,United States of America,Health Department,County Government,"$125,000 ",2017
"FAMILY HEALTH NETWORK OF CENTRAL NEW YORK, INC",55922041,CORTLAND,NY,13045,CORTLAND,United States of America,Other Health Organization,County Government,"$2,210,857 ",2017
ROCHESTER BUREAU OF HUMAN SERVICES,2465805,ROCHESTER,NY,14614,MONROE,United States of America,Health Department,City Government,"$999,999 ",2017
Chautauqua County Department of Mental Hygiene,74035726,MAYVILLE,NY,14757,CHAUTAUQUA,United States of America,Other Health Organization,County Government,"$998,192 ",2017
ERIE COUNTY MEDICAL CENTER,879196178,BUFFALO,NY,142153021,ERIE,United States of America,Hospital,County Government,"$772,467 ",2017
ERIE COUNTY HEALTH DEPARTMENT,92960785,BUFFALO,NY,14202,ERIE,United States of America,Health Department,County Government,"$100,000 ",2017
Niagara County Department of Mental Health,67523886,LOCKPORT,NY,140941895,NIAGARA,United States of America,Health Department,County Government,"$397,818 ",2017
Faces and Voices of Recovery South Carolina,832733237,WEST COLUMBIA,SC,29169,LEXINGTON,United States of America,Other Health Organization,State Government,"$150,000 ",2017
"Adams County Health Center, Inc.",20924403,COUNCIL,ID,83612,ADAMS,United States of America,Hospital,County Government,"$1,228,321 ",2017
NJ ST DEPARTMENT OF HEALTH AND SENIOR SERVICES,806418075,TRENTON,NJ,86250360,MERCER,United States of America,Health Department,State Government,"$139,390,263 ",2017
NJ ST DEPARTMENT OF PUBLIC HEALTH,806418075,TRENTON,NJ,8625,MERCER,United States of America,Health Department,State Government,"$944,650 ",2017
NJ ST Dept of Children and Families,784995503,TRENTON,NJ,8625,MERCER,United States of America,Other Health Organization,State Government,"$73,632,508 ",2017
NJ ST Dept of Children and Families,806418075,TRENTON,NJ,8625,MERCER,United States of America,Other Health Organization,State Government,$0 ,2017
City of Vineland Department of Health,73739955,VINELAND,NJ,83621508,CUMBERLAND,United States of America,Health Department,City Government,"$48,638 ",2017
HACKENSACK MEDICAL CENTER,42797571,HACKENSACK,NJ,7601,BERGEN,United States of America,Other Health Organization,City Government,"$1,296,022 ",2017
Newark Department of Child and Family Well-Being,785795576,NEWARK,NJ,7102,ESSEX,United States of America,Health Department,City Government,"($3,318)",2017
"PATERSON, CITY OF (INC)",968116319,PATERSON,NJ,75051414,PASSAIC,United States of America,Health Department,City Government,"$4,425,986 ",2017
"SECAUCUS, TOWN OF",80619414,SECAUCUS,NJ,70943226,HUDSON,United States of America,Health Department,City Government,"$125,000 ",2017
"Franklin County Head Start Program, Inc.",193663762,CHAMBERSBURG,PA,17201,FRANKLIN,United States of America,Other Health Organization,County Government,"$3,404,100 ",2017
UPMC Altoona,72166259,ALTOONA,PA,166014899,BLAIR,United States of America,Hospital,City Government,"$274,257 ",2017
LANCASTER GENERAL HOSPITAL,69784924,LANCASTER,PA,17603,LANCASTER,United States of America,Hospital,City Government,"$347,061 ",2017
CMSU BEHAVIORAL HEALTH AND DEVELOPMENTAL SERVICES,160217188,DANVILLE,PA,178210219,MONTOUR,United States of America,Other Health Organization,County Government,"$964,656 ",2017
PHILADELPHIA CITY DEPT OF PUBLIC HEALTH ENVIRONMENT,136968026,PHILADELPHIA,PA,19146,PHILADELPHIA,United States of America,Health Department,City Government,"$291,972 ",2017
CITY OF PHILADELPHIA DEPT OF BEHAV HLTH INTELL DIS SERV,809134484,PHILADELPHIA,PA,19107,PHILADELPHIA,United States of America,Hospital,City Government,"$1,400,000 ",2017
PA STATE DEPARTMENT OF INSURANCE,609513544,HARRISBURG,PA,17105,DAUPHIN,United States of America,Other Health Organization,State Government,"($579,020)",2017
PA ST DEPARTMENT OF HEALTH,614489839,HARRISBURG,PA,17105,DAUPHIN,United States of America,Health Department,State Government,"$68,395,576 ",2017
PA ST DEPARTMENT OF PUBLIC HEALTH & HUMAN SERVICES,614489839,HARRISBURG,PA,17101,DAUPHIN,United States of America,Health Department,State Government,"$93,101,321 ",2017
PA ST DHS Office of Mental Health and Substance Abuse,796567790,HARRISBURG,PA,171103593,DAUPHIN,United States of America,Other Health Organization,State Government,"$3,000,000 ",2017
PHILADELPHIA CITY DEPARTMENT OF PUBLIC HEALTH,133852801,PHILADELPHIA,PA,19107,PHILADELPHIA,United States of America,Health Department,City Government,"$8,762,385 ",2017
PHILADELPHIA CITY DEPARTMENT OF PUBLIC HEALTH,140533410,PHILADELPHIA,PA,19107,PHILADELPHIA,United States of America,Health Department,City Government,"$6,924,560 ",2017
PHILADELPHIA CITY DEPARTMENT OF PUBLIC HEALTH,624614876,PHILADELPHIA,PA,19107,PHILADELPHIA,United States of America,Health Department,City Government,"$3,180,592 ",2017
PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,133852801,PHILADELPHIA,PA,19102,PHILADELPHIA,United States of America,Health Department,City Government,"$3,270,290 ",2017
PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,140533410,PHILADELPHIA,PA,19102,PHILADELPHIA,United States of America,Health Department,City Government,"$2,848,818 ",2017
PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,621122852,PHILADELPHIA,PA,19102,PHILADELPHIA,United States of America,Health Department,City Government,"$25,273,997 ",2017
PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,624047689,PHILADELPHIA,PA,19102,PHILADELPHIA,United States of America,Health Department,City Government,"$359,655 ",2017
PHILADELPHIA DEPARTMENT OF PUBLIC HEALTH,624614876,PHILADELPHIA,PA,19102,PHILADELPHIA,United States of America,Health Department,City Government,"($1,836)",2017
"NORTHERN OSWEGO COUNTY HEALTH SERVICES, INC",38366357,PULASKI,NY,131421200,OSWEGO,United States of America,Other Health Organization,County Government,"$2,463,575 ",2017
"CODAC HEALTH, RECOVERY, & WELLNESS, INC.",139453005,TUCSON,AZ,857192374,PIMA,United States of America,Other Health Organization,County Government,"$544,980 ",2017
TIBURCIO VASQUEZ HEALTH CENTER,102906120,UNION CITY,CA,945872137,ALAMEDA,United States of America,Other Health Organization,City Government,"$2,374,134 ",2017
GARRETT COUNTY HEALTH DEPARTMENT,136568941,OAKLAND,MD,21550,GARRETT,United States of America,Health Department,County Government,"$125,000 ",2017
NATIONAL EMERGENCY MANAGEMENT ASSOCIATION,77303399,LEXINGTON,KY,405781910,FAYETTE,United States of America,Hospital,County Government,"$100,000 ",2017
County of Luzerne,60513058,WILKES BARRE,PA,187110001,LUZERNE,United States of America,Other Health Organization,County Government,"$850,759 ",2017
BUTLER HEALTHCARE PROVIDERS,68718253,BUTLER,PA,160014670,BUTLER,United States of America,Hospital,County Government,"$200,000 ",2017
"CENTERVILLE CLINIC, INC",30064141,FREDERICKTOWN,PA,15333,WASHINGTON,United States of America,Other Health Organization,City Government,"$5,752,790 ",2017
"HUNTINGDON COUNTY CHILD DEVELOPMENT, INC",86729514,HUNTINGDON,PA,16652,HUNTINGDON,United States of America,Other Health Organization,County Government,"$2,304,777 ",2017
Mercer County Behavioral Health Commission,832693345,MERCER,PA,161373138,MERCER,United States of America,Other Health Organization,County Government,"$125,000 ",2017
CLARION UNIVERSITY OF PENNSYLVANIA,72153737,CLARION,PA,16214,CLARION,United States of America,Hospital,State Government,"$398,696 ",2017
Beaver County Behavioral Health,68754019,BEAVER FALLS,PA,15010,BEAVER,United States of America,Health Department,County Government,"$400,000 ",2017
"Georgia Partnership for Telehealth, Inc.",15505792,WAYCROSS,GA,31501,WARE,United States of America,Other Health Organization,State Government,"$649,552 ",2017
SoberHood,31479549,AUSTIN,TX,78722,TRAVIS,United States of America,Other Health Organization,State Government,"$150,000 ",2017
Bartz-Altadonna Community Health Center,965016087,LANCASTER,CA,935343105,LOS ANGELES,United States of America,Hospital,State Government,"$1,716,438 ",2017
Barry County Community Mental Health Authority (BCCMHA),829789879,HASTINGS,MI,49058,BARRY,United States of America,Other Health Organization,State Government,"$125,000 ",2017
"Greeley County Health Services, Inc",612532296,TRIBUNE,KS,678799684,GREELEY,United States of America,Health Department,County Government,"$136,070 ",2017
"WIRT COUNTY HEALTH SERVICES ASSOCIATION, INC",99515637,ELIZABETH,WV,26143,WIRT,United States of America,Other Health Organization,County Government,"$2,370,403 ",2017
MONROE COUNTY HEALTH CENTER BOARD OF TRUSTEES,78655261,UNION,WV,24983,MONROE,United States of America,Other Health Organization,County Government,"$2,296,241 ",2017
STATE OF OHIO - DEPARTMENT OF HEALTH,808847669,COLUMBUS,OH,43266,FRANKLIN,United States of America,Health Department,State Government,$0 ,2017
STATE OF OHIO - DEPARTMENT OF HEALTH,808847933,COLUMBUS,OH,43266,FRANKLIN,United States of America,Health Department,State Government,"$87,470,095 ",2017
STATE OF OHIO - DEPARTMENT OF HEALTH,809172653,COLUMBUS,OH,43266,FRANKLIN,United States of America,Health Department,State Government,"$3,143,861 ",2017
OH ST DEPARTMENT OF PUBLIC HEALTH,808847933,COLUMBUS,OH,43215,FRANKLIN,United States of America,Health Department,State Government,"$8,825,489 ",2017
Hamilton County Mental Health and Recovery Svcs Board,125496922,CINCINNATI,OH,45219,HAMILTON,United States of America,Health Department,County Government,"$975,000 ",2017
CINCINNATI CITY HEALTH DEPARTMENT,134652473,CINCINNATI,OH,45229,HAMILTON,United States of America,Health Department,City Government,"$3,042,619 ",2017
CityofCincinnati Office of Environment & Sustainability,43325158,CINCINNATI,OH,45202,HAMILTON,United States of America,Health Department,City Government,($21),2017
"COLUMBUS, CITY OF",932901762,COLUMBUS,OH,432155331,FRANKLIN,United States of America,Health Department,City Government,"$5,400,239 ",2017
FAIRFIELD CO. MUNICIPAL COURT,621428713,LANCASTER,OH,43130,FAIRFIELD,United States of America,Other Health Organization,State Government,"$234,262 ",2017
Portsmouth City Health Department,92155043,PORTSMOUTH,OH,456623919,SCIOTO,United States of America,Health Department,City Government,"$618,238 ",2017
OH ST DEPARTMENT OF MENTAL HEALTH,809550106,COLUMBUS,OH,43215,FRANKLIN,United States of America,Health Department,State Government,"$16,793,371 ",2017
OH ST DEPARTMENT OF PUBLIC HEALTH,808847933,COLUMBUS,OH,43216,FRANKLIN,United States of America,Health Department,State Government,"$35,632,271 ",2017
OH ST DEPARTMENT OF HEALTH,808847933,COLUMBUS,OH,43216,FRANKLIN,United States of America,Health Department,State Government,"$6,410,306 ",2017
OH ST DEPARTMENT OF MNTL RETARD & DEVPMT`L DISABILITIES,809550163,COLUMBUS,OH,43215,FRANKLIN,United States of America,Other Health Organization,State Government,"($126,972)",2017
OH ST DEPARTMENT OF MNTL RETARD & DEVPMT`L DISABILITIES,943161976,COLUMBUS,OH,43215,FRANKLIN,United States of America,Other Health Organization,State Government,"$2,876,842 ",2017
TX DEPT OF STATE HEALTH SERVICES,806781373,AUSTIN,TX,78714,TRAVIS,United States of America,Health Department,State Government,"$8,117,003 ",2017
TX DEPT OF STATE HEALTH SERVICES,807391511,AUSTIN,TX,78714,TRAVIS,United States of America,Health Department,State Government,"$145,113,139 ",2017
INTERNATIONAL ANESTHESIA RESEARCH SOCIETY INC,97625685,SAN FRANCISCO,CA,94111,SAN FRANCISCO,United States of America,Other Health Organization,State Government,"$300,000 ",2017
HOLMES COUNTY GENERAL HEALTH DISTRICT,967383865,MILLERSBURG,OH,446541166,HOLMES,United States of America,Other Health Organization,County Government,"$163,157 ",2017
ASHTABULA COUNTY OF,85560394,ASHTABULA,OH,44004,ASHTABULA,United States of America,Hospital,County Government,"$82,900 ",2017
CLEVELAND CITY DIVISION OF HEALTH,884644881,CLEVELAND,OH,44114,CUYAHOGA,United States of America,Health Department,City Government,"$2,613,939 ",2017
